zip,campaign_id,name,is_active,state,state_id,cd,STUSAB,race,voter_person,volunteer_person
92530,106,Katie Porter for Congress,0,California,06,45,CA,Congress,,
92602,106,Katie Porter for Congress,0,California,06,45,CA,Congress,,
92603,106,Katie Porter for Congress,0,California,06,45,CA,Congress,1.0,0.0
92604,106,Katie Porter for Congress,0,California,06,45,CA,Congress,1.0,0.0
92606,106,Katie Porter for Congress,0,California,06,45,CA,Congress,1.0,0.0
92610,106,Katie Porter for Congress,0,California,06,45,CA,Congress,,
92612,106,Katie Porter for Congress,0,California,06,45,CA,Congress,8.0,0.0
92614,106,Katie Porter for Congress,0,California,06,45,CA,Congress,10.0,0.0
92617,106,Katie Porter for Congress,0,California,06,45,CA,Congress,2.0,0.0
92618,106,Katie Porter for Congress,0,California,06,45,CA,Congress,13.0,0.0
92620,106,Katie Porter for Congress,0,California,06,45,CA,Congress,3.0,0.0
92630,106,Katie Porter for Congress,0,California,06,45,CA,Congress,10.0,0.0
92637,106,Katie Porter for Congress,0,California,06,45,CA,Congress,39.0,0.0
92653,106,Katie Porter for Congress,0,California,06,45,CA,Congress,8.0,0.0
92656,106,Katie Porter for Congress,0,California,06,45,CA,Congress,5.0,0.0
92660,106,Katie Porter for Congress,0,California,06,45,CA,Congress,11.0,0.0
92676,106,Katie Porter for Congress,0,California,06,45,CA,Congress,,
92677,106,Katie Porter for Congress,0,California,06,45,CA,Congress,7.0,0.0
92678,106,Katie Porter for Congress,0,California,06,45,CA,Congress,,
92679,106,Katie Porter for Congress,0,California,06,45,CA,Congress,5.0,0.0
92688,106,Katie Porter for Congress,0,California,06,45,CA,Congress,6.0,0.0
92691,106,Katie Porter for Congress,0,California,06,45,CA,Congress,16.0,0.0
92692,106,Katie Porter for Congress,0,California,06,45,CA,Congress,23.0,0.0
92701,106,Katie Porter for Congress,0,California,06,45,CA,Congress,,
92705,106,Katie Porter for Congress,0,California,06,45,CA,Congress,7.0,0.0
92780,106,Katie Porter for Congress,0,California,06,45,CA,Congress,1.0,0.0
92782,106,Katie Porter for Congress,0,California,06,45,CA,Congress,1.0,0.0
92807,106,Katie Porter for Congress,0,California,06,45,CA,Congress,12.0,0.0
92808,106,Katie Porter for Congress,0,California,06,45,CA,Congress,1.0,0.0
92861,106,Katie Porter for Congress,0,California,06,45,CA,Congress,,
92865,106,Katie Porter for Congress,0,California,06,45,CA,Congress,,
92867,106,Katie Porter for Congress,0,California,06,45,CA,Congress,2.0,0.0
92869,106,Katie Porter for Congress,0,California,06,45,CA,Congress,3.0,0.0
92887,106,Katie Porter for Congress,0,California,06,45,CA,Congress,,
90720,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,1.0,0.0
90740,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,,
90742,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,,
90743,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,,
92603,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,,
92612,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,9.0,0.0
92614,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,8.0,1.0
92617,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,1.0,0.0
92625,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,9.0,1.0
92626,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,9.0,1.0
92627,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,7.0,2.0
92629,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,1.0,1.0
92637,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,,
92646,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,3.0,1.0
92647,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,0.0,4.0
92648,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,2.0,1.0
92649,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,2.0,2.0
92651,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,2.0,2.0
92653,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,4.0,0.0
92655,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,,
92656,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,5.0,2.0
92657,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,0.0,3.0
92660,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,11.0,2.0
92661,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,,
92662,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,1.0,2.0
92663,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,2.0,1.0
92675,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,,
92677,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,5.0,1.0
92683,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,5.0,1.0
92703,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,,
92704,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,,
92707,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,1.0,0.0
92708,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,2.0,0.0
92843,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,,
92844,107,Harley Rouda for Congress,1,California,06,48,CA,Congress,,
92003,108,Mike Levin for Congress,1,California,06,49,CA,Congress,2.0,0.0
92007,108,Mike Levin for Congress,1,California,06,49,CA,Congress,8.0,2.0
92008,108,Mike Levin for Congress,1,California,06,49,CA,Congress,8.0,4.0
92009,108,Mike Levin for Congress,1,California,06,49,CA,Congress,14.0,4.0
92010,108,Mike Levin for Congress,1,California,06,49,CA,Congress,3.0,1.0
92011,108,Mike Levin for Congress,1,California,06,49,CA,Congress,1.0,1.0
92014,108,Mike Levin for Congress,1,California,06,49,CA,Congress,4.0,3.0
92024,108,Mike Levin for Congress,1,California,06,49,CA,Congress,18.0,8.0
92028,108,Mike Levin for Congress,1,California,06,49,CA,Congress,,
92029,108,Mike Levin for Congress,1,California,06,49,CA,Congress,1.0,0.0
92037,108,Mike Levin for Congress,1,California,06,49,CA,Congress,5.0,0.0
92054,108,Mike Levin for Congress,1,California,06,49,CA,Congress,13.0,6.0
92055,108,Mike Levin for Congress,1,California,06,49,CA,Congress,,
92056,108,Mike Levin for Congress,1,California,06,49,CA,Congress,8.0,3.0
92057,108,Mike Levin for Congress,1,California,06,49,CA,Congress,9.0,1.0
92058,108,Mike Levin for Congress,1,California,06,49,CA,Congress,5.0,2.0
92067,108,Mike Levin for Congress,1,California,06,49,CA,Congress,2.0,0.0
92075,108,Mike Levin for Congress,1,California,06,49,CA,Congress,4.0,3.0
92078,108,Mike Levin for Congress,1,California,06,49,CA,Congress,5.0,0.0
92081,108,Mike Levin for Congress,1,California,06,49,CA,Congress,5.0,3.0
92083,108,Mike Levin for Congress,1,California,06,49,CA,Congress,3.0,0.0
92084,108,Mike Levin for Congress,1,California,06,49,CA,Congress,8.0,2.0
92091,108,Mike Levin for Congress,1,California,06,49,CA,Congress,1.0,0.0
92121,108,Mike Levin for Congress,1,California,06,49,CA,Congress,1.0,0.0
92127,108,Mike Levin for Congress,1,California,06,49,CA,Congress,2.0,0.0
92130,108,Mike Levin for Congress,1,California,06,49,CA,Congress,7.0,3.0
92624,108,Mike Levin for Congress,1,California,06,49,CA,Congress,18.0,5.0
92629,108,Mike Levin for Congress,1,California,06,49,CA,Congress,13.0,1.0
92651,108,Mike Levin for Congress,1,California,06,49,CA,Congress,2.0,0.0
92672,108,Mike Levin for Congress,1,California,06,49,CA,Congress,28.0,1.0
92673,108,Mike Levin for Congress,1,California,06,49,CA,Congress,9.0,4.0
92675,108,Mike Levin for Congress,1,California,06,49,CA,Congress,23.0,3.0
92677,108,Mike Levin for Congress,1,California,06,49,CA,Congress,4.0,0.0
92679,108,Mike Levin for Congress,1,California,06,49,CA,Congress,4.0,0.0
92688,108,Mike Levin for Congress,1,California,06,49,CA,Congress,0.0,2.0
92691,108,Mike Levin for Congress,1,California,06,49,CA,Congress,4.0,0.0
92692,108,Mike Levin for Congress,1,California,06,49,CA,Congress,3.0,0.0
92694,108,Mike Levin for Congress,1,California,06,49,CA,Congress,4.0,3.0
33001,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33030,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,23.0,0.0
33032,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,5.0,0.0
33033,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,9.0,0.0
33034,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,33.0,1.0
33035,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,2.0,0.0
33036,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33037,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,6.0,1.0
33039,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33040,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,5.0,1.0
33042,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33043,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33050,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33051,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33070,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,1.0,0.0
33155,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,3.0,0.0
33157,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,6.0,0.0
33165,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33170,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,4.0,0.0
33173,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33174,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,0.0,3.0
33175,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33176,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,10.0,0.0
33177,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,4.0,0.0
33183,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,2.0,0.0
33184,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33185,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33186,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,2.0,1.0
33187,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33189,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,3.0,0.0
33190,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33193,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
33196,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,1.0,0.0
34141,110,Debbie Mucarsel-Powell for Congress,1,Florida,12,26,FL,Congress,,
13028,111,Anthony Brindisi for Congress,1,New York,36,22,NY,Congress,,
13030,111,Anthony Brindisi for Congress,1,New York,36,22,NY,Congress,,
13032,111,Anthony Brindisi for Congress,1,New York,36,22,NY,Congress,,
13035,111,Anthony Brindisi for Congress,1,New York,36,22,NY,Congress,0.0,1.0
13036,111,Anthony Brindisi for Congress,1,New York,36,22,NY,Congress,,
13037,111,Anthony Brindisi for Congress,1,New York,36,22,NY,Congress,,
13042,111,Anthony Brindisi for Congress,1,New York,36,22,NY,Congress,,
13044,111,Anthony Brindisi for Congress,1,New York,36,22,NY,Congress,,
13045,111,Anthony Brindisi for Congress,1,New York,36,22,NY,Congress,0.0,1.0
13052,111,Anthony Brindisi for Congress,1,New York,36,22,NY,Congress,,
13053,111,Anthony Brindisi for Congress,1,New York,36,22,NY,Congress,,
