volunteer_zip_code,voter_zip_code,messaged,not_messaged,all
07016,07032,0,4,4
07016,07033,0,7,7
07016,07039,0,15,15
07016,07040,0,1,1
07016,07041,0,11,11
07016,07042,0,2,2
07016,07043,0,2,2
07016,07045,0,1,1
07016,07047,0,2,2
07016,07052,0,7,7
07016,07054,0,8,8
07016,07055,0,2,2
07016,07059,0,6,6
07016,07060,0,6,6
07016,07066,0,2,2
07016,07067,0,1,1
07016,07068,0,2,2
07016,07069,0,2,2
07016,07071,0,3,3
07016,07073,0,1,1
07016,07074,0,2,2
07016,07075,0,1,1
07016,07076,0,2,2
07016,07078,0,7,7
07016,07079,0,1,1
07016,07081,0,5,5
07016,07083,0,1,1
07016,07090,0,4,4
07016,07092,0,3,3
07016,07093,0,2,2
07016,07094,0,2,2
07016,07102,0,11,11
07016,07103,0,2,2
07016,07104,0,2,2
07016,07109,0,4,4
07016,07110,0,2,2
07016,07202,0,1,1
07016,07203,0,2,2
07016,07204,0,9,9
07016,07205,0,1,1
07016,07208,0,1,1
07016,07403,0,1,1
07016,07405,0,4,4
07016,07410,0,1,1
07016,07417,0,1,1
07016,07419,0,4,4
07016,07420,0,1,1
07016,07424,0,3,3
07016,07430,0,1,1
07016,07440,0,5,5
07016,07444,0,4,4
07016,07451,0,5,5
07016,07452,0,1,1
07016,07456,0,1,1
07016,07465,0,1,1
07016,07470,0,5,5
07016,07481,0,4,4
07016,07495,0,2,2
07016,07506,0,2,2
07016,07508,0,4,4
07016,07512,0,1,1
07016,07524,0,1,1
07016,07601,0,5,5
07016,07604,0,2,2
07016,07607,0,3,3
07016,07630,0,2,2
07016,07631,0,5,5
07016,07632,0,1,1
07016,07641,0,1,1
07016,07642,0,2,2
07016,07649,0,3,3
07016,07652,0,3,3
07016,07660,0,2,2
07016,07663,0,1,1
07016,07675,0,1,1
07016,07677,0,3,3
07016,07701,0,4,4
07016,07702,0,2,2
07016,07704,0,4,4
07016,07712,0,1,1
07016,07717,0,1,1
07016,07719,0,2,2
07016,07727,0,1,1
07016,07728,0,3,3
07016,07730,0,2,2
07016,07732,0,1,1
07016,07733,0,2,2
07016,07735,0,2,2
07016,07739,0,8,8
07016,07747,0,1,1
07016,07748,0,3,3
07016,07753,0,2,2
07016,07755,0,3,3
07016,07756,0,2,2
07016,07757,0,2,2
07016,07760,0,8,8
07016,07762,0,5,5
07016,07764,0,8,8
07016,07801,0,1,1
07016,07803,0,1,1
07016,07827,0,1,1
07016,07830,0,2,2
07016,07834,0,2,2
07016,07840,0,2,2
07016,07842,0,3,3
07016,07843,0,3,3
07016,07856,0,1,1
07016,07860,0,2,2
07016,07866,0,2,2
07016,07874,0,7,7
07016,07876,0,3,3
07016,07882,0,3,3
07016,07901,0,11,11
07016,07920,0,2,2
07016,07921,0,1,1
07016,07922,0,1,1
07016,07924,0,1,1
07016,07928,0,1,1
07016,07932,0,1,1
07016,07936,0,6,6
07016,07938,0,2,2
07016,07940,0,2,2
07016,07950,0,1,1
07016,07960,0,6,6
07016,07962,0,4,4
07016,07974,0,3,3
07016,07976,0,1,1
07016,07980,0,1,1
07016,07981,0,4,4
07016,08003,0,1,1
07016,08008,0,5,5
07016,08012,0,2,2
07016,08053,0,1,1
07016,08055,0,1,1
07016,08060,0,2,2
07016,08062,0,1,1
07016,08096,0,1,1
07016,08234,0,2,2
07016,08505,0,1,1
07016,08512,0,1,1
07016,08518,0,2,2
07016,08530,0,1,1
07016,08534,0,2,2
07016,08535,0,1,1
07016,08540,0,2,2
07016,08550,0,3,3
07016,08605,0,6,6
07016,08607,0,2,2
07016,08618,0,4,4
07016,08619,0,3,3
07016,08625,0,12,12
07016,08630,0,1,1
07016,08648,0,3,3
07016,08650,0,2,2
07016,08690,0,4,4
07016,08691,0,3,3
07016,08724,0,2,2
07016,08736,0,3,3
07016,08750,0,7,7
07016,08753,0,4,4
07016,08754,0,1,1
07016,08801,0,3,3
07016,08807,0,3,3
07016,08812,0,1,1
07016,08816,0,4,4
07016,08817,0,2,2
07016,08822,0,12,12
07016,08830,0,6,6
07016,08831,0,7,7
07016,08835,0,3,3
07016,08840,0,1,1
07016,08844,0,1,1
07016,08850,0,1,1
07016,08852,0,2,2
07016,08861,0,2,2
07016,08865,0,1,1
07016,08869,0,1,1
07016,08872,0,1,1
07016,08876,0,5,5
07016,08901,0,3,3
07016,08902,0,2,2
07016,10004,0,1,1
07016,10005,0,1,1
