ZCTA5CE10,longt,lat
2895,-71.50,42.00
2896,-71.55,41.97
2898,-71.68,41.52
2903,-71.41,41.82
2904,-71.44,41.86
2905,-71.40,41.78
2906,-71.39,41.84
2907,-71.43,41.80
2908,-71.44,41.84
2909,-71.45,41.82
2910,-71.44,41.78
2911,-71.47,41.85
2912,-71.40,41.83
2914,-71.37,41.81
2915,-71.36,41.77
2916,-71.35,41.84
2917,-71.52,41.91
2919,-71.52,41.83
2920,-71.47,41.77
2921,-71.52,41.76
3031,-71.61,42.87
3032,-71.34,42.99
3033,-71.67,42.75
3034,-71.31,43.06
3036,-71.25,42.97
3037,-71.25,43.14
3038,-71.28,42.89
3042,-71.07,43.05
3043,-71.81,42.99
3044,-71.13,42.99
3045,-71.57,43.02
3046,-71.61,43.10
3047,-71.87,42.94
3048,-71.76,42.75
3049,-71.58,42.75
3051,-71.41,42.76
3052,-71.46,42.84
3053,-71.39,42.88
3054,-71.52,42.85
3055,-71.67,42.82
3057,-71.68,42.90
3060,-71.46,42.74
3062,-71.50,42.72
3063,-71.52,42.78
3064,-71.47,42.78
3070,-71.69,42.98
3071,-71.87,42.75
3076,-71.32,42.73
3077,-71.20,43.03
3079,-71.22,42.79
3082,-71.77,42.90
3084,-71.85,42.83
3086,-71.77,42.83
3087,-71.30,42.81
3101,-71.47,42.99
3102,-71.49,43.01
3103,-71.44,42.95
3104,-71.44,43.01
3106,-71.44,43.07
3109,-71.40,42.97
3110,-71.53,42.94
3215,-71.45,43.95
3216,-71.80,43.45
3217,-71.63,43.72
3218,-71.29,43.33
3220,-71.48,43.47
3221,-71.96,43.25
3222,-71.78,43.63
3223,-71.68,43.85
3224,-71.55,43.35
3225,-71.24,43.36
3226,-71.51,43.70
3227,-71.47,43.83
3229,-71.70,43.20
3230,-71.87,43.53
3231,-71.76,43.47
3233,-71.93,43.43
3234,-71.34,43.21
3235,-71.67,43.45
3237,-71.38,43.43
3238,-71.90,43.98
3240,-71.97,43.58
3241,-71.82,43.72
3242,-71.82,43.17
3243,-71.76,43.52
3244,-71.92,43.12
3245,-71.59,43.75
