statetownid,x,y,pc11_state_id,pc11_town_id,polemp_all,emp_all,polemp_051,polemp_052,polemp_061,polemp_062,polemp_071,polemp_072,polemp_081,polemp_089,polemp_091,polemp_099,polemp_101,polemp_104,polemp_105,polemp_106,polemp_110,polemp_120,polemp_131,polemp_139,polemp_141,polemp_151,polemp_170,polemp_191,polemp_192,polemp_201,polemp_202,polemp_203,polemp_210,polemp_221,polemp_222,polemp_231,polemp_239,polemp_241,polemp_242,polemp_243,polemp_251,polemp_252,polemp_259,polemp_261,polemp_262,polemp_263,polemp_264,polemp_266,polemp_271,polemp_272,polemp_273,polemp_274,polemp_275,polemp_279,polemp_281,polemp_282,polemp_291,polemp_292,polemp_293,polemp_302,polemp_303,polemp_304,polemp_309,polemp_325,polemp_351,polemp_352
1006177,74.78212718,32.60180955,1,6177,96,284,0,0,0,0,0,0,0,0,0,0,2,3,83,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006178,74.73803136,32.58457234,1,6178,13,120,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006671,75.00393288,32.58766881,1,6671,9,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1006672,74.90566213,32.63632981,1,6672,55,482,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800001,74.19309889,34.46300956,1,800001,397,4280,0,0,0,0,0,0,0,0,0,0,54,0,1,1,10,0,0,0,222,2,1,0,1,0,0,0,0,2,0,5,20,0,0,0,1,0,23,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14
1800002,74.23932663,34.33655821,1,800002,352,3068,0,0,0,0,0,0,0,0,0,0,39,0,0,3,0,0,22,0,184,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,8
1800003,74.46436569,34.28660865,1,800003,1159,9603,7,20,6,2,0,0,0,0,0,0,49,0,6,24,60,0,30,192,368,4,4,1,0,0,21,0,3,15,0,0,79,124,16,27,2,0,10,0,0,0,0,0,48,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,15
1800004,74.41137627,34.30469497,1,800004,98,776,5,0,0,0,0,0,0,0,0,2,4,0,0,5,0,0,0,16,38,0,0,0,1,0,0,0,0,2,0,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
1800005,74.56509458,34.15978432,1,800005,262,1715,20,36,2,0,0,0,0,6,0,4,11,0,7,6,0,0,39,42,64,0,0,0,1,0,0,0,0,0,0,0,0,16,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1800006,74.35768609,34.20812198,1,800006,1359,11018,12,18,0,0,0,0,175,0,0,0,54,20,6,2,0,0,10,378,359,0,0,0,0,0,0,0,0,21,0,0,17,86,24,73,2,0,0,0,0,0,0,0,60,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,18,13
