description,y,x,pincode,place,taluka,district,state
30 Ferozabad (Uttar Pradesh),26.93854,78.69364,205142,Balipur,Jasarana,Firozabad,Uttar Pradesh
31 Ghaziabad (Uttar Pradesh),28.6433889,77.3223825,201010,Kaushambi,Ghaziabad,Ghaziabad,Uttar Pradesh
32 Gwalior (Madhya Pradesh),26.228015,78.223101,474006,Morar,Gwalior,Gwalior,Madhya Pradesh
33 Hajipur (Bihar),25.6341,85.2457,844101,Hajipur,Hajipur,Vaishali,Bihar
34 Haldia (West Bengal),22.060465,88.109742,721604,Haldia,Haldia,East Medinipur,West Bengal
35 Haridwar (Uttarakhand),29.8335,77.83155,247670,Narsan Kalan,Roorkee,Haridwar,Uttarakhand
36 Howrah (West Bengal) *,22.5445423,88.2217653,711313,Sankrail,,Howrah,West Bengal
37 Indore (Madhya Pradesh),23.00525,75.52936,453220,Gautampura,Depalpur,Indore,Madhya Pradesh
38 Ib Valley (Orissa),21.8412,83.9378,768216,I B,Lakhanpur,Jharsuguda,Orissa
39 Jaipur (Rajasthan),26.9877415,75.5844244,302012,Bindayaka,Kalwad,Jaipur,Rajasthan
4 Angul Talcher (Orissa)*,20.9323296,85.2006501,759100,Talcher,Talcher,Anugul,Orissa
40 Jalandhar (Punjab),31.3260302,75.5761679,144005,Jalandhar Cantt,Jalandhar,Jalandhar,Punjab
41 Jamshedpur (Jharkhand),22.815684,86.1827987,831011,Sonari,East Singhbhum,East Singhbhum,Jharkhand
42 Jharsuguda (Orissa),21.8279088,84.0934512,768213,Raghunathpali,Kolabira,Jharsuguda,Orissa
