id_from,id_to,order,x_from,y_from,x_to,y_to
2117,3424,2,83.85777,26.75271,84.59702,26.8886
3434,3424,1,84.57172,26.21703,84.59702,26.8886
3419,3425,1,86.25335,25.15271,85.28281,25.37753
1513,3428,1,84.6309,22.09994,84.95271,23.14204
1507,3436,1,85.67786,21.56107,85.81518,22.58044
1502,3436,1,86.79916,21.32839,85.81518,22.58044
3510,3501,1,72.94537,22.67293,72.27636,22.75157
3511,3503,1,72.35517,23.62986,72.01283,24.22021
3518,3504,1,73.56211,22.21733,73.22238,21.75388
1712,3510,1,73.91156,23.67334,72.94537,22.67293
3519,3515,1,73.11869,20.56278,73.3594,21.19948
3504,3518,1,73.22238,21.75388,73.56211,22.21733
3607,3601,1,76.85161,29.72223,77.13764,30.35027
2139,3604,1,77.76358,27.5377,77.23739,28.09199
2701,3610,1,77.1871,28.57598,76.76525,28.74308
3601,3710,1,77.13764,30.35027,77.4703,30.63696
3710,3711,2,77.4703,30.63696,77.00816,31.0031
1114,3905,1,74.0676,16.46655,75.88293,16.51645
3911,3906,1,76.16,12.93758,75.73339,13.38902
3918,3907,1,76.95487,13.36606,76.42682,14.14221
3202,3907,1,77.54757,14.4892,76.42682,14.14221
3916,3909,1,76.65481,15.81551,75.4923,15.11315
3212,3910,1,78.14298,16.49138,76.91079,17.0049
3915,3911,1,76.78744,12.02586,76.16,12.93758
3914,3911,1,76.85599,12.54001,76.16,12.93758
3915,3912,2,76.78744,12.02586,75.82824,12.27301
1914,3914,1,78.17573,11.91458,76.85599,12.54001
1914,3915,2,78.17573,11.91458,76.78744,12.02586
3909,3917,1,75.4923,15.11315,75.38787,13.99403
3912,4002,1,75.82824,12.27301,75.47615,12.09535
3915,4002,3,76.78744,12.02586,75.47615,12.09535
4006,4003,1,76.93148,9.794545,76.5763,10.06342
4001,4006,1,76.48494,9.428579,76.93148,9.794545
4007,4007,1,75.93038,11.53713,75.93038,11.53713
4008,4009,1,76.16312,11.14606,76.5746,10.80239
4012,4009,1,76.31745,10.48208,76.5746,10.80239
4003,4012,1,76.5763,10.06342,76.31745,10.48208
