id,state,district,x,y
3222,Andhra Pradesh,Warangal,79.81044,17.94902
3223,Andhra Pradesh,West Godavari,81.39973,16.88367
3303,Assam,Dibrugarh,95.07376,27.47259
3304,Assam,Darrang,92.59951,26.69781
3305,Assam,Goalpara,90.23246,26.30925
3306,Assam,Kamrup,91.21194,26.37882
3308,Assam,Karbi Anglong (Diphu),93.54587,26.20019
3311,Assam,N.C Hills,92.90833,25.57889
3312,Assam,Lakhimpur,94.91613,27.5256
3313,Assam,Nagaon,92.82572,26.22522
3314,Assam,Sibsagar,94.34444,26.78559
3315,Assam,Cachar,92.74366,24.70811
3403,Bihar,Bhagalpur,86.89971,25.00909
3405,Bihar,Darbhanga,86.04318,26.11189
3407,Bihar,Dhanbad,86.35689,23.76971
3408,Bihar,Gaya,84.88275,24.82558
3413,Bihar,Hazaribag,85.54208,24.14091
3419,Bihar,Munger,86.25335,25.15271
3420,Bihar,Muzzaffarpur,85.3861,26.21504
3423,Bihar,Palamu (Daltenganj),84.17596,24.08069
3424,Bihar,Champaran,84.59702,26.8886
3425,Bihar,Patna,85.28281,25.37753
3427,Bihar,Purnia,87.50257,25.92697
3428,Bihar,Ranchi,84.95271,23.14204
3429,Bihar,Sahabad,84.09112,25.29891
3430,Bihar,Saharsa,86.75503,25.92759
3434,Bihar,Saran,84.57172,26.21703
3436,Bihar,Singhbhum,85.81518,22.58044
3442,Bihar,Dumka(Santhal Parganas),87.20244,24.5034
3501,Gujarat,Ahmadabad,72.27636,22.75157
3502,Gujarat,Amreli,71.18299,21.45781
3503,Gujarat,Banas Kantha,72.01283,24.22021
3504,Gujarat,Bharuch,73.22238,21.75388
3506,Gujarat,Bhavnagar,71.76874,21.62876
3507,Gujarat,Jamnagar,69.90382,22.28985
3508,Gujarat,Junagadh,70.32129,21.36747
3509,Gujarat,Kachchh (Bhuj),69.98401,23.63772
3510,Gujarat,Kheda,72.94537,22.67293
3511,Gujarat,Mahesana,72.35517,23.62986
3512,Gujarat,Panchmahals (Godhra),73.89228,22.83565
3513,Gujarat,Rajkot,70.74923,22.29035
3514,Gujarat,Sabarkantha (Himatnagar),73.22333,23.61694
