id_from,id_to,x_from,y_from,x_to,y_to,order,km
3610,2143,76.76525,28.74308,77.62041,29.4012,1,35
2115,2146,79.45102,30.52176,80.25502,29.98687,1,122
2135,2146,80.64904,28.13506,80.25502,29.98687,1,120
2131,2148,82.65064,25.81658,81.27522,26.26412,2,113
2147,2148,81.90029,25.9211,81.27522,26.26412,1,45
2131,2153,82.65064,25.81658,82.09692,26.31928,1,50
2112,2154,78.40325,29.33681,78.55446,30.42417,1,61
2156,2154,78.58647,30.9738,78.55446,30.42417,1,22
2150,2154,77.74158,29.88239,78.55446,30.42417,1,21
2142,2154,78.59632,28.72776,78.55446,30.42417,1,122
2116,2154,77.96901,30.43319,78.55446,30.42417,1,1
3709,2156,77.69617,31.17549,78.58647,30.9738,1,4
2116,2156,77.96901,30.43319,78.58647,30.9738,2,1
2154,2156,78.55446,30.42417,78.58647,30.9738,1,1
3710,2156,77.4703,30.63696,78.58647,30.9738,1,15
2212,2202,88.18435,24.18442,87.85541,23.39344,1,34
2202,2202,87.85541,23.39344,87.85541,23.39344,1,62
2216,2205,88.30614,25.68453,88.37927,26.88174,1,51
2205,2205,88.37927,26.88174,88.37927,26.88174,1,1
2210,2205,88.05559,25.14756,88.37927,26.88174,1,128
2213,2207,88.51215,23.53091,88.07543,22.91795,1,1
2214,2214,86.3863,23.29494,86.3863,23.29494,1,1
2408,2402,92.55014,27.39587,93.12079,27.3023,1,18
3312,2404,94.91613,27.5256,96.56206,28.0606,1,42
3314,2406,94.34444,26.78559,95.56534,27.04495,3,3
3303,2406,95.07376,27.47259,95.56534,27.04495,2,17
2405,2407,93.56243,27.73353,93.88006,28.29835,1,129
2409,2407,94.55238,28.57839,93.88006,28.29835,1,130
3304,2408,92.59951,26.69781,92.55014,27.39587,1,10
2403,2409,95.07734,28.35755,94.55238,28.57839,1,19
2406,2411,95.56534,27.04495,96.41532,27.48777,1,20
2411,2411,96.41532,27.48777,96.41532,27.48777,1,28
3604,2701,77.23739,28.09199,77.1871,28.57598,1,58
2114,2701,77.91692,28.36566,77.1871,28.57598,2,20
3222,3201,79.81044,17.94902,79.20456,19.21883,1,91
3204,3202,78.7701,14.46712,77.54757,14.4892,1,8
3204,3202,78.7701,14.46712,77.54757,14.4892,2,20
3215,3204,79.7123,14.78452,78.7701,14.46712,1,66
